breeds.primary,id.1,organization_id,age,gender,size,coat,tags,name_x,description,status_changed_at,published_at,distance,colors.primary,attributes.spayed_neutered,attributes.house_trained,attributes.special_needs,attributes.shots_current,contact.address.city,contact.address.postcode,animal_id,organization_id.1,name_y
adoptable,Rottweiler,8,8,8,8,8,0,8,8,6,8,8,8,4,8,8,8,8,8,8,8,8,8
adoptable,Schnauzer,7,7,7,7,7,0,7,7,5,7,7,7,1,7,7,7,7,7,7,7,7,7
adoptable,Shar-Pei,9,9,9,9,9,0,9,9,4,9,9,9,4,9,9,9,9,9,9,9,9,9
adoptable,Shepherd,111,111,111,111,111,16,111,111,78,111,111,111,59,111,111,111,111,111,111,111,111,111
adoptable,Shiba Inu,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
adoptable,Shih Tzu,3,3,3,3,3,1,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3
adoptable,Siberian Husky,11,11,11,11,11,1,11,11,5,11,11,11,5,11,11,11,11,11,11,11,11,11
adoptable,Smooth Collie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adoptable,Spaniel,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adoptable,Staffordshire Bull Terrier,8,8,8,8,8,6,8,8,8,8,8,8,5,8,8,8,8,8,8,8,8,8
adoptable,Terrier,109,109,109,109,109,37,109,109,81,109,109,109,51,109,109,109,109,109,109,109,109,109
adoptable,Treeing Walker Coonhound,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
adoptable,Weimaraner,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
adoptable,West Highland White Terrier / Westie,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
adoptable,Whippet,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
adoptable,White German Shepherd,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
adoptable,Wire Fox Terrier,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
adoptable,Wirehaired Terrier,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4
adoptable,Yellow Labrador Retriever,6,6,6,6,6,0,6,6,3,6,6,6,5,6,6,6,6,6,6,6,6,6
adoptable,Yorkshire Terrier,4,4,4,4,4,1,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
adopted,Affenpinscher,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
adopted,Afghan Hound,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Airedale Terrier,11,11,11,11,11,10,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11,11
adopted,Akbash,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,Akita,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
adopted,Alaskan Malamute,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
adopted,American Bulldog,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20
